"ai_tool","user_type","experience_level","industry","primary_use_case","satisfaction_score","failure_reason"
"Midjourney","Data Analyst","Intermediate","Manufacturing","Content Writing",2.22,"Tool limitation"
"Claude","Teacher","Intermediate","Media","Design",1.16,"Slow response"
"AutoGPT","Non-Tech User","Intermediate","Transportation","Data Analysis",1.17,"Wrong output"
"Midjourney","Business Owner","Intermediate","Media","Automation",1.29,"Connection issues"
"Duolingo Max","Researcher","Intermediate","Retail","Research",1.92,"Tool limitation"
"LangChain","Cybersecurity Analyst","Advanced","Finance","Data Analysis",1.13,"Connection issues"
"Gemini","Business Owner","Intermediate","Energy","Design",2.03,"Low accuracy"
"Microsoft Copilot","Content Creator","Beginner","Healthcare","Design",1.11,"Tool limitation"
"AutoGPT","Government Worker","Expert","Tech","Automation",2.31,"Connection issues"
"Copy.ai","ML Engineer","Intermediate","Transportation","Marketing",1.37,"Wrong output"
"Cursor AI","Lawyer","Expert","Agriculture","Data Analysis",2.03,"Wrong output"
"DeepSeek","Researcher","Beginner","Tech","Content Writing",2.18,"Slow response"
"Canva AI","Designer","Expert","Government","Translation",1.57,"Slow response"
"Runway ML","Teacher","Intermediate","Tech","Customer Support",1.57,"Connection issues"
"Tableau AI","Teacher","Beginner","Energy","Marketing",2.51,"Tool limitation"
"Whisper","Junior Dev","Beginner","Transportation","Customer Support",1.03,"Low accuracy"
"Claude","Doctor","Intermediate","Government","Coding",2.42,"Connection issues"
"BloombergGPT","Content Creator","Advanced","Education","Research",2.44,"Wrong output"
"Kensho","Business Owner","Advanced","Education","Translation",2.21,"Low accuracy"
"Cohere","Junior Dev","Intermediate","Legal","Learning",2.54,"Low accuracy"
"GPT-4","Student","Beginner","Transportation","Video Creation",1.1,"Tool limitation"
"Claude","DevOps Engineer","Advanced","Education","Translation",2.49,"Connection issues"
"Duolingo Max","Researcher","Beginner","Government","Content Writing",2.24,"Connection issues"
"Deepgram","Student","Expert","Education","Coding",2.04,"Connection issues"
"Canva AI","Lawyer","Expert","Finance","Learning",2.17,"Tool limitation"
"Mistral","Researcher","Intermediate","Retail","Coding",1.94,"Tool limitation"
"Whisper","Cybersecurity Analyst","Advanced","Manufacturing","Content Writing",2.04,"Wrong output"
"Khanmigo","Designer","Advanced","Retail","Learning",2.34,"Low accuracy"
"Khanmigo","Cybersecurity Analyst","Advanced","Finance","Research",2.53,"Slow response"
"Qwen","Product Manager","Beginner","Tech","Marketing",1.67,"Wrong output"
"Khanmigo","Cybersecurity Analyst","Advanced","Tech","Video Creation",2.35,"Wrong output"
"GPT-4","Marketer","Advanced","Finance","Video Creation",1.88,"Connection issues"
"Qwen","Teacher","Advanced","Agriculture","Content Writing",2.1,"Slow response"
"Cohere","Researcher","Beginner","Finance","Marketing",2.14,"Slow response"
"Gemini","Non-Tech User","Advanced","Transportation","Customer Support",1.78,"Low accuracy"
"Runway ML","Cybersecurity Analyst","Beginner","Transportation","Automation",1.23,"Connection issues"
"Tesla Optimus","Content Creator","Expert","Healthcare","Customer Support",2.28,"Tool limitation"
"Whisper","Student","Advanced","Manufacturing","Translation",1.07,"Low accuracy"
"GrammarlyGO","Doctor","Advanced","Transportation","Content Writing",1.05,"Slow response"
"LangChain","Student","Intermediate","Tech","Research",1.79,"Slow response"
"Cohere","Product Manager","Advanced","Tech","Data Analysis",1.46,"Slow response"
"BloombergGPT","Senior Developer","Intermediate","Manufacturing","Design",2.38,"Connection issues"
"Whisper","Data Analyst","Beginner","Transportation","Design",2.39,"Connection issues"
"Power BI Copilot","Business Owner","Advanced","Education","Marketing",1.51,"Tool limitation"
"PyTorch","Senior Developer","Beginner","Education","Content Writing",1.59,"Low accuracy"
"Mistral","Designer","Expert","Education","Design",2.36,"Connection issues"
"Synthesia","Cybersecurity Analyst","Beginner","Tech","Video Creation",2.52,"Wrong output"
"HeyGen","ML Engineer","Advanced","Tech","Customer Support",1.23,"Wrong output"
"Falcon","Lawyer","Advanced","Legal","Video Creation",2.34,"Wrong output"
"Perplexity AI","ML Engineer","Expert","Healthcare","Video Creation",2.21,"Wrong output"
"Hugging Face","Non-Tech User","Intermediate","Manufacturing","Research",2.09,"Tool limitation"
"Devin","DevOps Engineer","Advanced","Agriculture","Customer Support",1.45,"Wrong output"
"Qwen","Content Creator","Intermediate","Retail","Design",1.27,"Wrong output"
"Kensho","Junior Dev","Expert","Finance","Translation",2.08,"Connection issues"
"Midjourney","Product Manager","Advanced","Legal","Customer Support",1.97,"Low accuracy"
"Jasper","Junior Dev","Expert","Retail","Design",1.62,"Tool limitation"
"Gemini","Junior Dev","Intermediate","Finance","Research",1.15,"Connection issues"
"Tesla Optimus","Student","Intermediate","Education","Automation",1.28,"Low accuracy"
"Power BI Copilot","Lawyer","Beginner","Transportation","Research",2.37,"Low accuracy"
"Qwen","Cybersecurity Analyst","Beginner","Transportation","Video Creation",1.98,"Slow response"
"Grok","Product Manager","Beginner","Transportation","Marketing",1.65,"Low accuracy"
"DeepSeek","Designer","Intermediate","Education","Customer Support",1.85,"Tool limitation"
"Deepgram","Cybersecurity Analyst","Beginner","Media","Video Creation",1.07,"Low accuracy"
"LangChain","Teacher","Expert","Legal","Learning",1.2,"Wrong output"
"LLaMA","Data Analyst","Beginner","Retail","Video Creation",2.08,"Low accuracy"
"Notion AI","Lawyer","Beginner","Education","Data Analysis",2.35,"Wrong output"
"PyTorch","Researcher","Expert","Healthcare","Content Writing",1.06,"Slow response"
"Falcon","Researcher","Advanced","Government","Translation",1.43,"Connection issues"
"AutoGPT","Student","Intermediate","Finance","Data Analysis",1.69,"Low accuracy"
"Perplexity AI","Government Worker","Beginner","Manufacturing","Learning",2.46,"Wrong output"
"Duolingo Max","ML Engineer","Expert","Tech","Content Writing",1.67,"Slow response"
"Synthesia","Teacher","Expert","Agriculture","Design",1.36,"Slow response"
"LangChain","Junior Dev","Expert","Media","Automation",2.48,"Low accuracy"
"Devin","Junior Dev","Advanced","Transportation","Design",2.43,"Slow response"
"Grok","Cybersecurity Analyst","Expert","Transportation","Data Analysis",2.06,"Wrong output"
"TensorFlow","Freelancer","Beginner","Education","Automation",2.28,"Slow response"
"BloombergGPT","Designer","Advanced","Manufacturing","Research",2.46,"Connection issues"
"Duolingo Max","Content Creator","Beginner","Healthcare","Automation",2.33,"Slow response"
"DeepSeek","Researcher","Expert","Media","Video Creation",2.34,"Low accuracy"
"Cohere","Freelancer","Intermediate","Finance","Content Writing",1.85,"Slow response"
"Tableau AI","Lawyer","Beginner","Retail","Automation",2.53,"Wrong output"
"Midjourney","Doctor","Expert","Healthcare","Design",1,"Wrong output"
"Figma AI","Startup Founder","Intermediate","Healthcare","Coding",2.43,"Low accuracy"
"BloombergGPT","Freelancer","Expert","Healthcare","Content Writing",2.54,"Tool limitation"
"HeyGen","Doctor","Intermediate","Education","Learning",2.19,"Tool limitation"
"Duolingo Max","Business Owner","Intermediate","Agriculture","Video Creation",2.47,"Connection issues"
"Microsoft Copilot","DevOps Engineer","Beginner","Government","Translation",1.37,"Slow response"
"Whisper","Startup Founder","Intermediate","Education","Video Creation",2.07,"Connection issues"
"Canva AI","Designer","Beginner","Manufacturing","Translation",2.42,"Tool limitation"
"AutoGPT","Junior Dev","Beginner","Healthcare","Learning",2.54,"Low accuracy"
"Cohere","Marketer","Expert","Education","Automation",2.58,"Tool limitation"
"Midjourney","Lawyer","Intermediate","Agriculture","Automation",2.14,"Connection issues"
"GPT-4","Senior Developer","Beginner","Tech","Learning",1.99,"Low accuracy"
"Microsoft Copilot","Marketer","Beginner","Manufacturing","Automation",1.68,"Slow response"
"Synthesia","Lawyer","Expert","Manufacturing","Data Analysis",1.71,"Low accuracy"
"Claude","Lawyer","Intermediate","Retail","Coding",1.32,"Low accuracy"
"HeyGen","Content Creator","Expert","Government","Marketing",1.65,"Low accuracy"
"ElevenLabs","Government Worker","Advanced","Government","Content Writing",1.43,"Tool limitation"
"Elicit","Data Analyst","Expert","Retail","Video Creation",1.62,"Connection issues"
"GPT-4","Startup Founder","Expert","Manufacturing","Learning",1.57,"Connection issues"
"GitHub Copilot","Non-Tech User","Intermediate","Agriculture","Research",2.01,"Connection issues"
"HeyGen","Freelancer","Intermediate","Energy","Coding",1.88,"Connection issues"
"Midjourney","DevOps Engineer","Advanced","Government","Design",1.56,"Wrong output"
"Claude","Marketer","Beginner","Government","Design",1.93,"Connection issues"
"Power BI Copilot","Teacher","Intermediate","Government","Customer Support",2.49,"Tool limitation"
"LLaMA","Content Creator","Intermediate","Transportation","Marketing",1.59,"Low accuracy"
"Hugging Face","Non-Tech User","Beginner","Education","Learning",2.47,"Wrong output"
"Perplexity AI","Lawyer","Expert","Legal","Automation",2.31,"Slow response"
"Tableau AI","Startup Founder","Advanced","Agriculture","Translation",1.78,"Wrong output"
"PyTorch","Junior Dev","Expert","Transportation","Marketing",1.93,"Wrong output"
"PyTorch","Non-Tech User","Expert","Education","Marketing",2.46,"Slow response"
"Kensho","Lawyer","Advanced","Manufacturing","Research",2.59,"Connection issues"
"Tableau AI","Non-Tech User","Expert","Retail","Translation",1.8,"Wrong output"
"Hugging Face","Doctor","Intermediate","Healthcare","Translation",1.13,"Wrong output"
"Whisper","Lawyer","Beginner","Media","Data Analysis",1.36,"Tool limitation"
"Notion AI","Lawyer","Expert","Education","Coding",1.82,"Connection issues"
"Microsoft Copilot","Lawyer","Intermediate","Media","Content Writing",1.63,"Wrong output"
"Elicit","Freelancer","Advanced","Energy","Learning",2.46,"Wrong output"
"Tabnine","ML Engineer","Expert","Media","Learning",1.28,"Wrong output"
"PyTorch","DevOps Engineer","Advanced","Tech","Design",1.64,"Low accuracy"
"TensorFlow","Teacher","Expert","Healthcare","Translation",2.44,"Wrong output"
"Codeium","DevOps Engineer","Expert","Manufacturing","Marketing",1.79,"Low accuracy"
"Runway ML","Business Owner","Expert","Government","Data Analysis",1.68,"Low accuracy"
"Grok","Teacher","Beginner","Transportation","Customer Support",2.07,"Wrong output"
"Tableau AI","Cybersecurity Analyst","Expert","Tech","Coding",1.37,"Wrong output"
"DALL-E","Non-Tech User","Advanced","Legal","Marketing",2.35,"Low accuracy"
"HeyGen","Cybersecurity Analyst","Advanced","Agriculture","Video Creation",2.32,"Slow response"
"Canva AI","Content Creator","Advanced","Manufacturing","Customer Support",2.19,"Tool limitation"
"DataRobot","Junior Dev","Beginner","Agriculture","Marketing",2.43,"Low accuracy"
"Copy.ai","Senior Developer","Beginner","Transportation","Coding",1.47,"Tool limitation"
"Gemini","Doctor","Intermediate","Media","Research",1.84,"Low accuracy"
"DataRobot","Researcher","Expert","Manufacturing","Marketing",1.78,"Slow response"
"Codeium","Designer","Advanced","Tech","Learning",1.62,"Connection issues"
"Perplexity AI","Business Owner","Advanced","Agriculture","Translation",1.84,"Connection issues"
"Tabnine","Freelancer","Intermediate","Manufacturing","Marketing",1.05,"Wrong output"
"Claude","Startup Founder","Expert","Energy","Customer Support",1.84,"Low accuracy"
"Hugging Face","Business Owner","Beginner","Manufacturing","Coding",1.45,"Wrong output"
"Codeium","DevOps Engineer","Advanced","Tech","Data Analysis",2.13,"Connection issues"
"Cohere","Doctor","Intermediate","Government","Customer Support",1.35,"Low accuracy"
"DeepSeek","Government Worker","Expert","Energy","Automation",1.3,"Low accuracy"
"Stable Diffusion","Data Analyst","Expert","Government","Video Creation",1.96,"Slow response"
"Tableau AI","Startup Founder","Expert","Education","Automation",1.55,"Wrong output"
"Kensho","Senior Developer","Expert","Retail","Research",2.09,"Low accuracy"
"Codeium","Teacher","Intermediate","Transportation","Research",2.26,"Connection issues"
"Power BI Copilot","Teacher","Expert","Manufacturing","Learning",1.04,"Slow response"
"BloombergGPT","Student","Advanced","Agriculture","Automation",1.29,"Connection issues"
"Cohere","Student","Expert","Healthcare","Video Creation",1.74,"Low accuracy"
"Boston Dynamics AI","Junior Dev","Beginner","Retail","Design",1.94,"Low accuracy"
"Devin","Lawyer","Intermediate","Education","Data Analysis",2.54,"Slow response"
"Duolingo Max","Content Creator","Beginner","Tech","Marketing",1.05,"Tool limitation"
"LangChain","DevOps Engineer","Beginner","Media","Design",2.43,"Connection issues"
"LangChain","DevOps Engineer","Beginner","Retail","Coding",1.65,"Wrong output"
"Tesla Optimus","Designer","Beginner","Finance","Automation",2,"Low accuracy"
"HeyGen","Non-Tech User","Beginner","Government","Automation",2.31,"Tool limitation"
"Deepgram","DevOps Engineer","Expert","Media","Marketing",1.6,"Low accuracy"
"DALL-E","Marketer","Beginner","Government","Content Writing",2.32,"Low accuracy"
"Duolingo Max","Non-Tech User","Beginner","Energy","Customer Support",1.79,"Tool limitation"
"Tesla Optimus","Startup Founder","Intermediate","Retail","Automation",1.15,"Tool limitation"
"Stable Diffusion","Government Worker","Advanced","Agriculture","Customer Support",2.22,"Low accuracy"
"Deepgram","Researcher","Beginner","Energy","Learning",2.41,"Wrong output"
"DataRobot","Data Analyst","Expert","Tech","Coding",2.42,"Tool limitation"
"Copy.ai","Freelancer","Advanced","Tech","Content Writing",1.68,"Low accuracy"
"AlphaFold","Lawyer","Advanced","Government","Data Analysis",1.77,"Slow response"
"Whisper","Teacher","Intermediate","Agriculture","Coding",1.89,"Tool limitation"
"Tabnine","Student","Advanced","Retail","Translation",1.11,"Wrong output"
"Duolingo Max","Data Analyst","Advanced","Media","Video Creation",1.43,"Low accuracy"
"Qwen","Startup Founder","Expert","Legal","Customer Support",1.71,"Low accuracy"
"Jasper","Senior Developer","Beginner","Tech","Coding",1.35,"Slow response"
"Kensho","Student","Expert","Healthcare","Design",2.43,"Connection issues"
"Deepgram","Lawyer","Expert","Legal","Learning",2.29,"Low accuracy"
"Grok","Senior Developer","Expert","Manufacturing","Research",1.43,"Tool limitation"
"Codeium","Startup Founder","Beginner","Finance","Translation",1.72,"Connection issues"
"TensorFlow","Non-Tech User","Beginner","Finance","Learning",1.19,"Wrong output"
"Synthesia","Content Creator","Advanced","Media","Customer Support",2.36,"Tool limitation"
"Kensho","Lawyer","Beginner","Retail","Learning",1.62,"Low accuracy"
"ElevenLabs","Lawyer","Expert","Education","Research",1.84,"Wrong output"
"Microsoft Copilot","Doctor","Beginner","Tech","Translation",1.85,"Tool limitation"
"Microsoft Copilot","Marketer","Expert","Transportation","Marketing",2.55,"Connection issues"
"Falcon","Data Analyst","Intermediate","Healthcare","Marketing",2.29,"Slow response"
"Tabnine","Researcher","Expert","Finance","Content Writing",1.82,"Connection issues"
"GPT-5","Marketer","Expert","Finance","Automation",1.25,"Wrong output"
"AlphaFold","Government Worker","Beginner","Healthcare","Customer Support",1.67,"Slow response"
"Falcon","Government Worker","Expert","Education","Video Creation",1.74,"Connection issues"
"Synthesia","Senior Developer","Advanced","Retail","Customer Support",2.23,"Slow response"
